Fecha,ANO,SEMANA,casos
2024-01-01,2024,1,2
2024-01-22,2024,4,1
2024-02-12,2024,7,6
2024-02-26,2024,9,1
2024-03-04,2024,10,1
2024-03-18,2024,12,1
2024-04-15,2024,16,3
2024-05-06,2024,19,1
2024-05-13,2024,20,3
2024-06-03,2024,23,2
2024-06-10,2024,24,35
2024-06-24,2024,26,1
2024-07-08,2024,28,1
2024-07-29,2024,31,1
2024-08-05,2024,32,1
2024-08-12,2024,33,20
2024-08-19,2024,34,1
2024-09-09,2024,37,1
2024-09-16,2024,38,1
2024-09-23,2024,39,1
2024-10-07,2024,41,19
2024-10-21,2024,43,2
2024-10-28,2024,44,1
2024-11-04,2024,45,1
2024-12-02,2024,49,4
2024-12-09,2024,50,5
2024-12-16,2024,51,1
