t,distancia
7.0,0.000371452032077725
14.0,8.096837665569774e-06
21.0,1.9159644162811146e-06
28.0,9.20676339556795e-06
35.0,8.481795033650568e-06
42.0,8.799676392323529e-06
49.0,9.160496205735252e-06
56.0,9.452962716722739e-06
63.0,9.651278838483415e-06
70.0,9.766359064732714e-06
77.0,9.823448547630073e-06
84.0,9.84577895924463e-06
91.0,9.849577301463793e-06
98.0,9.844604410507843e-06
105.0,9.836317158232542e-06
112.0,9.827523461479762e-06
119.0,9.819542945267969e-06
126.0,9.812893214193226e-06
133.0,9.807671802893967e-06
140.0,9.803782464178278e-06
147.0,9.801038865436827e-06
154.0,9.79924163812201e-06
161.0,9.798192309451441e-06
168.0,9.797721490366877e-06
175.0,9.797682400189071e-06
182.0,9.797955805705256e-06
189.0,9.798449538486207e-06
196.0,9.799083925429984e-06
203.0,9.799805376284842e-06
210.0,9.800569588749528e-06
217.0,9.801343481417243e-06
224.0,9.80210865248256e-06
231.0,9.802845038983975e-06
238.0,9.803542763634022e-06
245.0,9.80419798380749e-06
252.0,9.804805988006096e-06
259.0,9.805363468895872e-06
266.0,9.805874378742069e-06
273.0,9.806336824186856e-06
280.0,9.806756340033942e-06
287.0,9.807132201130976e-06
294.0,9.807470350335185e-06
301.0,9.807772572391785e-06
308.0,9.80804230043442e-06
315.0,9.808281132325864e-06
322.0,9.808494623966874e-06
329.0,9.808683117048457e-06
336.0,9.8088499176746e-06
343.0,9.808997094673342e-06
350.0,9.809127233757195e-06
357.0,9.809241782983848e-06
364.0,9.809342256148948e-06
