t,S,E,I,R,V
0,3499.0,0.0,1.0,0.0,1.0
1,2806.379080373071,627.9537516869914,6.332221360958292,0.015502466193301786,1.1374703064679097
2,2155.509639176765,1205.4827309212128,21.28922833146954,0.08718568312098517,1.7856500743614492
3,1457.5418471602156,1821.5387928812388,45.700800979925276,0.26612609159154144,3.4147818016047324
4,792.9848838006661,2395.4613872233067,79.65096182387894,0.602845312394364,6.496731670947776
5,324.6959684283995,2766.7084404021243,120.76293298923453,1.142434463141686,11.460645288507072
6,94.72993289096627,2897.205406487791,165.0151482002231,1.9099139675668895,18.559678291659207
7,18.949656037428888,2874.475227146394,209.00254094042754,2.908546093966065,27.852862810007764
8,2.539377745070199,2794.9943826992017,251.05942507765053,4.127584559979751,39.272475244060104
9,0.2628688655541003,2704.445952308336,290.73946955798027,5.551065097338654,52.701949253391206
10,0.05618913362946282,2614.898297477398,328.03973263648385,7.162325276786937,68.01622407531113
11,0.03902140248313812,2528.1429114941834,363.05017483546703,8.94530341511998,85.09345569581504
12,0.033648516301763534,2444.2594711471143,395.8694219634546,10.884742585765766,103.81695473785244
13,0.029668156132879854,2363.162608159667,426.593283525885,12.966181621066832,124.07521535610361
14,0.02660311751592634,2284.760157494818,455.3139223411984,15.175922680717308,145.76172964007614
15,0.023999918066641056,2208.963005058625,482.1199369565742,17.500998362178738,168.77479335862344
16,0.02183358189293684,2135.6845811009707,507.0964910504936,19.929140022944075,193.01731810656187
17,0.020000726112044766,2064.8412707393363,530.3254362541899,22.448747326655806,218.3966502213061
18,0.01838083715761212,1996.3522573424218,551.8854327979457,25.048858983712925,244.82439631733547
19,0.01703247382758448,1930.1392338182848,571.8520662446936,27.71912464046394,272.2162552049626
20,0.01581782435608854,1866.1266897522546,590.2979589792118,30.449777874804354,300.49185597458336
21,0.014790755485548644,1804.241436297193,607.2928794509619,33.23161025893588,329.574602034054
22,0.013856761559700283,1744.4128634762837,622.9038461411571,36.05594644891639,359.3915208912822
23,0.013001107715287551,1686.5726309233783,637.1952289714296,38.91462026380921,389.87311947979424
24,0.012244055241624786,1630.6546347439466,650.2288466187745,41.7999517173543,420.9532448327826
25,0.011579050024015726,1576.5949939809575,662.0640604057926,44.70472496692928,452.5689499166205
26,0.010969227241369095,1524.3319811558988,672.7578649760379,47.62216714559117,484.6603644408847
27,0.010399015913169543,1473.8059000558685,682.3649758319543,50.545928044157606,517.1705704680287
28,0.009890481410507608,1424.9590011863336,690.9379137084235,53.470060611598775,550.0454826528213
29,0.009393230147895377,1377.7355260698769,698.5270858070619,56.38900224309534,583.2337329470557
30,0.008971135058835431,1332.0814565532246,705.1808644991445,59.29755682602742,616.6865596089423
31,0.008550700447755395,1287.9447051028565,710.945662725567,62.190877515631755,650.3577003661535
32,0.008174888029600789,1245.274801111515,715.8660072766164,65.06445021252307,684.2032895811725
33,0.007838653752039806,1204.0229979390228,719.9846090038271,67.91407771586208,718.1817592786894
34,0.007507520417779798,1164.1421986203338,723.3424307308351,70.73586452643018,752.2537438949978
35,0.007214559780902568,1125.5868049517628,725.978752802315,73.52620227502344,786.3819886164647
36,0.006924798145027954,1088.3128011577744,727.9312360773899,76.28175575249696,820.5312611789999
37,0.00666325419009538,1052.2775754141755,729.2359829050959,78.9994495184575,854.6682670031436
38,0.006397709380569782,1017.4399885261236,729.9275957042292,81.67645506667007,888.7615675459494
39,0.006177811640509109,983.7601876759169,730.0392336524667,84.31017852581529,922.7815017529043
40,0.005948098924178063,951.1997480726498,729.6026670856013,86.89824887523254,956.700110499252
41,0.005743042124288068,919.7214337974415,728.6483302328165,89.4385066557792,990.491063911695
42,0.0055329458434271155,889.289309516407,727.2053717954093,91.92899315691956,1024.1295914676575
43,0.005357806851740303,859.868565438478,725.3017039096949,94.36794006160935,1057.5924147707108
44,0.00517574051975311,831.4256292682107,722.9640491504771,96.75375953140981,1090.8576829061194
45,0.005013120860741623,803.9279775621477,720.2179860372387,99.0850347147353,1123.9049102822357
46,0.004833937587451551,777.3442293281284,717.0879927158228,101.36051066192674,1156.7149168682915
47,0.004694349025328433,751.6439554846515,713.5974892348125,103.57908563128937,1189.2697707408738
48,0.004549468375157525,726.7978374887666,709.7688780850536,105.73980277096231,1221.552732855802
49,0.004398957993945674,702.7774881072614,705.6235834669308,107.8418421618911,1253.548203963669
50,0.004281068352724957,679.5554249519084,701.1820890413396,109.88451320784868,1285.2416735913826
51,0.0041479287427018344,657.1051638994597,696.4639742495269,111.86724735890533,1316.6196710142121
52,0.004030893135408675,635.4010233454251,691.487949461822,113.78959115522096,1347.6697181452514
53,0.003906780125783633,614.418228727914,686.2718896919605,115.65119957860715,1378.3802842725836
54,0.003805688224753333,594.1327763270369,680.8328672017814,117.45182969967102,1408.7407425759955
55,0.0036887522773610595,574.5215281767821,675.1871828046384,119.19133460888881,1438.7413283582764
56,0.0035884962973421904,555.5620451666745,669.3503961455996,120.86965762031501,1468.373098927731
57,0.0034892596700935503,537.2326810709021,663.3373547539998,122.48682673712645,1497.6278950714718
58,0.003395257795400508,519.5124897076379,657.1622221144154,124.04294936853357,1526.4983040605646
59,0.0033085204348164083,502.3812230841532,650.8385046666446,125.53820728803187,1554.9776241306504
60,0.003215636991352138,485.81932152522273,644.3790778170668,126.97285182331454,1583.0598303834213
61,0.003136528943794515,469.8078425186861,637.7962110160455,128.34719926853336,1610.739542056321
62,0.0030599759803898135,454.32850359550855,631.1015918658828,129.66162650995525,1638.0119911098054
63,0.002978716595995636,439.3636263140207,624.3063493769711,130.9165668563776,1664.872992083122
64,0.0029043111343803655,424.8961011855516,617.4210763547059,132.1125060660065,1691.3189131714694
65,0.002839254440304079,410.9093960374632,610.4558509414495,133.24997856180883,1717.3466484790247
66,0.0027664706085382363,397.38754763599405,603.4202573658231,134.3295638276475,1742.9535914039236
67,0.0027021130039115216,384.3150906102254,596.3234059417262,135.3518829777986,1768.1376091128468
68,0.002627448387220752,371.67710794003034,589.1739522820051,136.31759549274014,1792.897018064469
69,0.002565442817495989,359.45913728039085,581.9801158430746,137.22739611435196,1817.2305605423187
70,0.002509405450857369,347.6472258436181,574.7496977289377,138.08201189394947,1841.1373821592074
71,0.002450918297966544,336.22788651109454,567.4900978607889,138.88219938680243,1864.6170102965518
72,0.0023935227970107555,325.188068723677,560.2083314978352,139.62874198704642,1887.6693334433608
73,0.0023475181056241854,314.5151487787377,552.9110451318537,140.32244739712215,1910.294581400876
74,0.0022916335714930594,304.1969537574269,545.6045317746355,140.96414522610155,1932.4933063200845
75,0.0022395387473931995,294.2216810633625,538.2947456987245,141.55468471147373,1954.266364540464
76,0.0021913464643649786,284.5779334643898,530.9873165890699,142.09493255917928,1975.614899199548
77,0.0021463866432925283,275.25469329350045,523.6875631764142,142.5857708968732,1996.5403235838976
78,0.0020892417051984937,266.24132382820056,516.4005063466603,143.02809533559648,2017.0443051931968
79,0.002046445639913153,257.52750040654,509.13088177017477,143.4228131352169,2037.1287504901643
80,0.0020086327680376697,249.103276532576,501.883152016259,143.77084146918864,2056.7957903100205
81,0.0019649937480629882,240.9590380363166,494.6615182340819,144.07310578433942,2076.0477659041253
82,0.0019247197873724954,233.08547062765908,487.46993138331817,144.33053825157197,2094.8872155933723
83,0.001884208707242768,225.47358206698735,480.3121030217485,144.5440763035231,2113.316862007823
84,0.0018432437236109121,218.11467570443727,473.1915156903732,144.71466125537628,2131.339599889864
85,0.0018077697275456156,211.00033776666513,466.11143289569844,144.8432370051744,2148.958484439053
86,0.001773314947304067,204.12244433269518,459.0749087028792,144.93074881012353,2166.176720177582
87,0.0017326573863836832,197.47314437870378,452.0847969634781,144.97814213551422,2182.9976503160697
88,0.0017009950690113943,191.04482562424,445.14376018919205,144.98636157302155,2199.424746600125
89,0.0016624003236979951,184.83015940935715,438.25427806460044,144.95634982527352,2215.46159961886
90,0.0016303109802993045,178.8220317993585,431.4186556520066,144.88904675369787,2231.1119095571867
91,0.0016011625559654553,173.01358184968905,424.6390312542884,144.7853884867802,2246.379477374439
92,0.001567956018572168,167.39818019233795,417.91738398223424,144.64630658597724,2261.2681963924706
93,0.0015421309219209197,161.969399576296,411.2555410263402,144.47272726664065,2275.782044277002
